"previous_year_rating";"education = Below Secondary";"employee_id";"department";"region";"gender";"recruitment_channel";"no_of_trainings";"age";"length_of_service";"awards_won?";"avg_training_score";"is_promoted"
3.1974214343271554;0;29934;"Technology";"region_23";"m";"sourcing";1;30;1;0;77;"No"
4.0;0;33332;"Operations";"region_15";"m";"sourcing";1;41;11;0;57;"No"
1.0;0;35465;"Sales & Marketing";"region_7";"f";"sourcing";1;24;2;0;48;"No"
2.0;0;17423;"Sales & Marketing";"region_2";"m";"other";3;24;2;0;48;"No"
3.0;0;66013;"Sales & Marketing";"region_2";"m";"sourcing";2;25;2;0;53;"No"
1.0;0;69094;"Sales & Marketing";"region_2";"m";"sourcing";1;39;9;0;49;"No"
3.1974214343271554;0;62658;"Sales & Marketing";"region_2";"f";"sourcing";1;20;1;0;55;"No"
4.0;0;6254;"Operations";"region_2";"f";"other";1;33;9;0;64;"No"
4.0;0;60761;"Operations";"region_16";"f";"other";1;31;2;0;62;"No"
1.0;1;11800;"Procurement";"region_2";"f";"other";1;23;2;0;69;"No"
4.0;0;57235;"Sales & Marketing";"region_26";"m";"other";1;22;2;0;51;"No"
3.1974214343271554;0;24414;"R&D";"region_2";"m";"other";1;25;1;0;76;"No"
3.1974214343271554;1;35873;"Legal";"region_2";"m";"other";1;28;1;0;62;"No"
3.0;0;55550;"Analytics";"region_27";"m";"sourcing";1;31;4;0;85;"No"
5.0;1;18651;"Legal";"region_22";"m";"other";1;25;2;0;59;"No"
3.0;1;67467;"Finance";"region_2";"f";"other";1;26;2;0;61;"No"
5.0;0;45496;"Sales & Marketing";"region_2";"m";"other";1;22;2;0;62;"Yes"
3.1974214343271554;1;74579;"Operations";"region_2";"m";"other";2;26;1;0;61;"No"
3.0;0;5128;"Operations";"region_2";"m";"other";1;48;8;0;57;"No"
5.0;1;53988;"Finance";"region_2";"m";"other";1;26;2;0;60;"No"
3.0;1;66210;"Operations";"region_22";"m";"other";1;24;2;0;59;"No"
4.0;1;66802;"Technology";"region_7";"f";"other";2;24;3;0;78;"No"
4.0;0;69715;"Operations";"region_2";"f";"other";1;58;18;0;60;"No"
4.0;0;56139;"Sales & Marketing";"region_16";"m";"other";1;24;2;0;51;"No"
2.0;0;36936;"Sales & Marketing";"region_28";"m";"other";1;24;2;0;52;"Yes"
3.0;0;72765;"Operations";"region_2";"f";"sourcing";1;53;11;0;57;"No"
3.0;0;6711;"Sales & Marketing";"region_6";"m";"sourcing";1;23;2;0;51;"No"
3.0;0;67946;"Analytics";"region_32";"m";"other";1;27;2;0;88;"No"
1.0;0;41763;"Sales & Marketing";"region_26";"m";"other";1;43;4;0;49;"No"
3.0;1;16004;"Finance";"region_22";"m";"other";1;25;3;0;61;"No"
3.1974214343271554;1;10002;"HR";"region_2";"m";"sourcing";1;24;1;0;52;"No"
3.1974214343271554;0;36691;"Sales & Marketing";"region_14";"m";"other";1;24;1;0;55;"No"
3.1974214343271554;0;6788;"Sales & Marketing";"region_2";"f";"other";2;40;1;0;51;"No"
4.0;0;15369;"Analytics";"region_22";"f";"other";1;29;5;0;86;"No"
3.1974214343271554;1;5272;"Operations";"region_2";"f";"sourcing";1;24;1;0;73;"Yes"
3.1974214343271554;1;49389;"Legal";"region_27";"m";"other";1;27;1;0;59;"No"
3.0;0;62499;"Operations";"region_2";"f";"other";1;33;9;0;58;"No"
3.0;0;20516;"Sales & Marketing";"region_2";"m";"other";1;24;2;1;81;"Yes"
3.1974214343271554;0;22660;"Sales & Marketing";"region_27";"m";"sourcing";2;24;1;0;47;"No"
5.0;0;29142;"Sales & Marketing";"region_31";"m";"sourcing";1;27;3;0;49;"No"
1.0;0;47584;"Procurement";"region_2";"f";"sourcing";1;53;11;0;67;"No"
4.0;0;30088;"Operations";"region_2";"m";"sourcing";1;36;3;0;59;"No"
3.0;0;109;"Technology";"region_27";"m";"sourcing";2;28;2;0;79;"No"
5.0;1;55275;"Operations";"region_2";"m";"sourcing";1;26;3;0;60;"No"
3.0;0;65257;"Sales & Marketing";"region_2";"m";"sourcing";3;45;6;0;47;"No"
4.0;0;40019;"Analytics";"region_27";"m";"other";1;31;6;0;86;"No"
4.0;0;28851;"Procurement";"region_2";"f";"sourcing";1;37;11;0;70;"No"
2.0;0;70961;"Sales & Marketing";"region_7";"m";"sourcing";1;33;7;0;49;"No"
3.1974214343271554;0;6099;"Sales & Marketing";"region_22";"f";"sourcing";1;27;1;0;48;"No"
4.0;0;10377;"Sales & Marketing";"region_22";"m";"sourcing";1;26;2;0;53;"No"
3.1974214343271554;1;36231;"Finance";"region_2";"m";"sourcing";2;25;1;0;60;"No"
3.1974214343271554;0;34642;"Sales & Marketing";"region_2";"m";"sourcing";1;23;1;0;44;"No"
3.0;0;38439;"Procurement";"region_2";"f";"sourcing";1;28;4;0;68;"No"
3.0;0;68530;"Operations";"region_9";"m";"sourcing";1;27;2;0;65;"No"
4.0;0;66950;"Sales & Marketing";"region_2";"m";"other";1;29;2;0;47;"No"
3.1974214343271554;1;31495;"Procurement";"region_2";"f";"other";3;22;1;0;66;"No"
4.0;0;8926;"Sales & Marketing";"region_31";"m";"sourcing";1;25;3;0;47;"No"
4.0;0;35744;"Sales & Marketing";"region_28";"m";"other";1;25;3;0;64;"Yes"
5.0;0;63754;"Analytics";"region_31";"m";"other";1;26;2;0;87;"No"
3.1974214343271554;0;53048;"Analytics";"region_31";"m";"other";1;27;1;0;91;"No"
3.0;0;31205;"Operations";"region_2";"f";"sourcing";1;37;9;0;61;"No"
3.1974214343271554;0;66596;"Sales & Marketing";"region_25";"m";"other";1;26;1;0;51;"No"
3.0;0;49815;"Sales & Marketing";"region_7";"m";"other";1;40;4;0;52;"No"
3.0;1;64022;"Operations";"region_22";"m";"other";1;25;3;0;55;"No"
4.0;0;54208;"Sales & Marketing";"region_15";"m";"other";1;36;4;0;51;"No"
3.1974214343271554;1;73959;"HR";"region_2";"f";"sourcing";1;20;1;0;47;"No"
3.0;0;23436;"Technology";"region_2";"f";"other";1;45;3;0;81;"No"
3.0;1;58569;"Procurement";"region_2";"m";"sourcing";2;20;2;0;74;"No"
3.0;0;76325;"Sales & Marketing";"region_27";"m";"other";1;26;3;0;54;"No"
3.1974214343271554;0;37770;"Sales & Marketing";"region_31";"m";"sourcing";1;24;1;0;53;"No"
2.0;0;72720;"Sales & Marketing";"region_15";"m";"other";1;39;4;0;48;"No"
3.1974214343271554;0;57220;"Sales & Marketing";"region_14";"m";"sourcing";1;25;1;0;51;"No"
3.0;0;14613;"Operations";"region_2";"f";"sourcing";1;43;4;0;64;"No"
3.1974214343271554;0;36805;"Analytics";"region_29";"m";"sourcing";1;30;1;0;85;"No"
3.0;0;35480;"Sales & Marketing";"region_2";"m";"other";1;25;2;0;46;"No"
3.0;0;33535;"Sales & Marketing";"region_7";"m";"sourcing";1;27;4;0;48;"No"
3.1974214343271554;1;52397;"Operations";"region_22";"m";"sourcing";1;22;1;0;58;"No"
3.1974214343271554;0;63434;"Sales & Marketing";"region_22";"f";"other";2;23;1;0;43;"No"
4.0;0;21714;"Sales & Marketing";"region_19";"m";"sourcing";1;41;8;0;46;"No"
1.0;0;63965;"Sales & Marketing";"region_2";"f";"other";1;30;4;0;50;"No"
3.1974214343271554;1;35070;"Finance";"region_22";"m";"sourcing";1;24;1;0;61;"No"
3.0;0;8611;"Technology";"region_2";"f";"other";1;60;31;0;82;"No"
4.0;0;22207;"Analytics";"region_22";"m";"sourcing";1;29;7;0;87;"No"
