"previous_year_rating";"education = Below Secondary";"employee_id";"department";"region";"gender";"recruitment_channel";"no_of_trainings";"age";"length_of_service";"awards_won?";"avg_training_score";"confidence(No)";"confidence(Yes)";"prediction(is_promoted)"
5.0;0;3720;"Sales & Marketing";"region_2";"m";"sourcing";1;36;4;0;49;0.9645682078343305;0.035431792165669496;"No"
3.2046296296296295;1;64076;"Operations";"region_2";"m";"other";1;21;1;0;56;0.9783217256804053;0.021678274319594702;"No"
3.2046296296296295;1;5387;"Technology";"region_5";"m";"other";1;23;1;0;81;0.8580864627664683;0.14191353723353176;"No"
3.0;0;26977;"Operations";"region_2";"m";"sourcing";1;28;3;0;59;0.9874272098913919;0.01257279010860812;"No"
5.0;0;2347;"Analytics";"region_15";"m";"other";2;37;8;0;82;0.970627404617629;0.029372595382371004;"No"
4.0;1;14299;"Procurement";"region_2";"m";"sourcing";1;24;2;0;69;0.9592099902548814;0.040790009745118615;"No"
3.2046296296296295;0;42719;"Analytics";"region_21";"m";"sourcing";1;27;1;0;80;0.999999382821743;6.171782569764844E-7;"No"
5.0;0;2721;"Analytics";"region_22";"f";"sourcing";2;26;3;0;86;0.9227164821444825;0.07728351785551746;"No"
4.0;0;3203;"Sales & Marketing";"region_2";"m";"sourcing";1;37;4;0;50;0.9737692639527151;0.02623073604728491;"No"
3.2046296296296295;1;50176;"HR";"region_27";"m";"other";1;23;1;0;51;0.9131536195198405;0.08684638048015944;"No"
1.0;0;26788;"Sales & Marketing";"region_26";"m";"sourcing";1;40;8;0;51;0.9987555289051823;0.0012444710948176984;"No"
3.2046296296296295;1;47252;"Finance";"region_2";"m";"sourcing";1;23;1;0;58;0.983481862100143;0.016518137899857007;"No"
3.2046296296296295;0;56772;"Sales & Marketing";"region_22";"m";"other";2;23;1;0;53;0.9432599248028758;0.05674007519712424;"No"
3.0;1;40057;"Procurement";"region_2";"m";"other";1;22;2;0;71;0.9441057413506717;0.05589425864932824;"No"
3.2046296296296295;1;71886;"Technology";"region_5";"m";"other";1;22;1;0;79;0.8936031908181098;0.10639680918189023;"No"
